ID;session;trial;response;outcome;mean;sd
20;3;98;58;65;86;15
20;3;99;76;100;86;15
20;3;100;93;87;86;15
20;3;101;87;89;86;15
20;3;102;86;72;49;15
20;3;103;86;32;49;15
20;3;104;64;37;49;15
20;3;105;88;29;49;15
20;3;106;25;66;49;15
20;3;107;26;42;49;15
20;3;108;39;51;49;15
20;3;109;40;67;49;15
20;3;110;55;76;49;15
20;3;111;73;78;49;15
20;3;112;76;48;49;15
20;3;113;46;44;49;15
20;3;114;36;69;49;15
20;3;115;64;68;49;15
20;3;116;66;45;49;15
20;3;117;40;21;49;15
20;3;118;28;42;49;15
20;3;119;42;37;49;15
20;3;120;35;84;78;5
20;3;121;11;78;78;5
20;3;122;78;82;78;5
20;3;123;85;63;62;5
20;3;124;67;63;62;5
20;3;125;63;64;62;5
20;3;126;66;56;62;5
20;3;127;63;65;62;5
20;3;128;68;66;62;5
20;3;129;67;63;62;5
20;3;130;60;65;62;5
20;3;131;63;80;74;5
20;3;132;77;78;74;5
20;3;133;77;76;74;5
20;3;134;75;74;74;5
20;3;135;71;67;74;5
20;3;136;72;83;74;5
20;3;137;77;73;74;5
20;3;138;81;75;74;5
20;3;139;79;68;74;5
20;3;140;74;78;74;5
20;3;141;79;51;63;5
20;3;142;55;67;63;5
20;3;143;59;56;63;5
20;3;144;54;64;63;5
20;3;145;59;61;63;5
20;3;146;58;68;63;5
20;3;147;64;63;63;5
20;3;148;59;72;80;15
20;3;149;66;70;80;15
20;3;150;64;71;80;15
20;3;151;69;81;80;15
20;3;152;75;95;80;15
20;3;153;91;92;80;15
20;3;154;80;56;53;15
20;3;155;49;82;53;15
20;3;156;80;39;53;15
20;3;157;48;60;53;15
20;3;158;53;64;53;15
20;3;159;57;23;23;5
20;3;160;46;25;23;5
20;3;161;32;20;23;5
20;3;162;25;36;47;15
20;3;163;30;56;47;15
20;3;164;44;45;47;15
20;3;165;46;57;47;15
20;3;166;43;40;47;15
20;3;167;35;57;47;15
20;3;168;45;32;47;15
20;3;169;32;28;47;15
20;3;170;29;21;47;15
20;3;171;22;33;47;15
20;3;172;33;9;24;15
20;3;173;15;27;24;15
20;3;174;20;15;24;15
20;3;175;20;35;24;15
20;3;176;33;37;24;15
20;3;177;30;16;24;15
20;3;178;15;19;24;15
20;3;179;20;7;24;15
20;3;180;13;13;24;15
20;3;181;18;27;24;15
20;3;182;22;27;24;15
20;3;183;25;15;24;15
20;3;184;13;42;24;15
20;3;185;19;19;24;15
20;3;186;23;22;24;15
20;3;187;21;16;24;15
20;3;188;16;17;24;15
20;3;189;19;26;24;15
20;3;190;24;53;24;15
20;3;191;30;18;24;15
20;3;192;18;24;31;15
20;3;193;26;25;31;15
